LAT,LON,EMP_WAC,POP10
37.7781,-122.4190,0,2
37.7832,-122.4150,68,1498
37.7890,-122.3999,2281,0
37.7831,-122.4487,90,124
37.7603,-122.4495,10,98
37.7594,-122.4580,72,271
37.7464,-122.4453,0,118
37.7847,-122.4406,130,94
37.7669,-122.4365,9,23
37.7592,-122.4232,40,244
37.7542,-122.4260,42,112
37.7411,-122.4997,8,209
37.7411,-122.4987,32,156
37.7393,-122.4975,3,158
37.7393,-122.4964,4,174
37.7787,-122.4938,26,259
37.7807,-122.4928,97,207
37.7787,-122.4927,10,218
37.7730,-122.4944,6,153
37.7827,-122.4898,3,189
37.7789,-122.4884,8,256
37.7790,-122.4863,47,209
37.7811,-122.4853,51,330
37.7772,-122.4851,9,261
37.7753,-122.4849,30,226
37.7735,-122.4848,25,405
37.7600,-122.4935,15,185
37.7619,-122.4926,4,223
37.7638,-122.4917,54,145
37.7639,-122.4895,6,133
37.7621,-122.4894,73,185
37.7834,-122.4209,22,0
37.7802,-122.4160,49,3
37.7796,-122.4136,30,0
37.7722,-122.4230,3,0
37.7811,-122.4119,0,0
37.7793,-122.4000,0,0
37.7744,-122.4065,9,0
37.7734,-122.4073,5,0
37.7695,-122.3971,0,0
37.7984,-122.4505,24,0
37.7952,-122.4499,0,0
37.7996,-122.4502,802,0
37.8059,-122.4374,0,0
37.7972,-122.4111,11,0
37.7971,-122.4127,4,0
37.7970,-122.4133,0,18
37.7972,-122.4237,8,64
37.8010,-122.4270,9,0
37.7960,-122.4209,7,0
37.8051,-122.4170,0,0
37.8046,-122.4027,40,0
37.7994,-122.3984,0,0
37.8019,-122.4010,12,1
37.7354,-122.3765,3,0
37.7334,-122.3690,0,0
37.7340,-122.3685,0,0
37.7525,-122.4026,0,0
37.8005,-122.4618,14,0
37.8013,-122.4627,4,1
37.7633,-122.4455,0,1
37.7689,-122.4750,0,0
37.7088,-122.4314,1,0
37.7348,-122.3677,0,0
37.7086,-122.4311,0,75
37.7886,-122.4029,2354,4
37.7533,-122.4764,2,0
37.7607,-122.4775,36,256
37.7552,-122.4765,2,0
37.7661,-122.4627,0,2
37.7536,-122.4685,0,0
37.7515,-122.4478,0,0
37.7535,-122.4438,318,165
37.7622,-122.4450,0,0
37.7516,-122.4455,0,131
37.7576,-122.4473,0,8
37.7634,-122.4341,13,0
37.7620,-122.4368,4,0
37.7624,-122.4357,11,0
37.7694,-122.4109,0,0
37.7697,-122.4178,0,0
37.7570,-122.4268,6,152
37.7607,-122.4244,267,317
37.7587,-122.4247,7,248
37.7571,-122.4245,25,193
37.7560,-122.4236,29,97
37.7693,-122.4256,61,111
37.7701,-122.4212,0,3
37.7604,-122.3900,5,0
37.7509,-122.3919,0,0
